"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CLU|1191",68751.9853450218,-2.88084484347303,0.238633214677121,-12.072271026357,1.47992887924352e-33,1.26500284428065e-30
"KLHL14|57565",601.089438864765,-4.27288032593864,0.355657756484279,-12.0140226046989,2.99894473911233e-33,2.45196329647858e-30
"QPRT|23475",630.369166826563,-2.73294322885178,0.227558188611248,-12.0098654569651,3.15357693849977e-33,2.47095893035368e-30
"AKR1B1|231",9846.8208549917,-4.08751099735209,0.342043103472061,-11.9502804057734,6.4706546257193e-33,4.86722640946606e-30
"SLCO4C1|353189",137.379949432244,-5.40990102962879,0.45869465253806,-11.7941227343607,4.18539294016179e-32,3.02716593229779e-29
"HOXB6|3216",609.843682534893,-5.45030219978507,0.463149854684911,-11.7679022127579,5.71274458057517e-32,3.83672006563272e-29
"DOK4|55715",1342.93290678677,-1.23002554531016,0.104496781681915,-11.7709418942137,5.51057849716306e-32,3.83672006563272e-29
"SLC13A2|9058",521.032391030328,-7.46286658686962,0.640781466325876,-11.6465081764308,2.39054783528845e-31,1.55014662215859e-28
"AMACR|23600",16355.3800942489,2.86319063466459,0.246220313463294,11.6285719662664,2.94991158465097e-31,1.84910291164538e-28
"CTF1|1489",576.724708667825,-1.49989895810215,0.129033909231576,-11.6240681773834,3.10967910095939e-31,1.88637146753359e-28
"GSTP1|2950",11479.733895865,-2.37556264902197,0.204534684298177,-11.6144733944429,3.4792539222762e-31,2.04460531276262e-28
"NDRG4|65009",1223.71567934528,-3.86933758115201,0.333555499847945,-11.6002811613536,4.10726626290877e-31,2.34051945678786e-28
"QSOX2|169714",1132.00619331716,0.894140812167638,0.0772919974245026,11.5683491430147,5.96187534971485e-31,3.29744311621729e-28
"SEC16A|9919",15417.97470854,0.961234645419219,0.0832367051390561,11.5482063329317,7.53771310835514e-31,4.04990557150338e-28
"NETO2|81831",392.865136758216,2.1995203739664,0.190685036727248,11.5348346766849,8.8056175284199e-31,4.59971215616489e-28
"LOC84856|84856",121.59773474272,-4.79523042575062,0.416518044627527,-11.5126595056374,1.13910423993447e-30,5.78942033296427e-28
"SGEF|26084",3744.87114294081,1.64592820002193,0.143684565165637,11.4551496754333,2.21580165363435e-30,1.09653026569984e-27
"SNCG|6623",1212.19417551143,-2.17876000279313,0.190618905150931,-11.4299261191748,2.96360866964307e-30,1.42899130852918e-27
"ZIC5|85416",55.1038939283618,5.31932104191177,0.466173472475627,11.4106043264611,3.70148671007287e-30,1.74016143957301e-27
"EFNB1|1947",1902.98016357161,-1.24662398218962,0.10948808520876,-11.3859328146318,4.91395669498927e-30,2.25382818656764e-27
"SNAP25|6616",556.996310477696,-3.42013953018277,0.302799585226073,-11.2950601554796,1.38808980574717e-29,6.21500685644654e-27
"KCNJ16|3773",585.065439782574,-6.93116185093667,0.615600366148333,-11.2591905919474,2.08666417764271e-29,9.12551624664447e-27
"NLRP12|91662",81.4492961255534,2.88415505001544,0.25629110850979,11.2534339048491,2.22747669591974e-29,9.51993165153881e-27
"SLIT1|6585",567.425955477518,3.1067916738753,0.276311531800753,11.2438002627975,2.48451623543784e-29,1.03825172905352e-26
"CAMKK2|10645",15035.0137894718,1.75518467645709,0.156458540820751,11.2182094198868,3.31922944756553e-29,1.35691542959717e-26
"TCAP|8557",285.277590532465,-4.61721241307137,0.411742537735721,-11.2138338643916,3.48752785551519e-29,1.39538215580773e-26
"MATK|4145",319.818312294925,2.62888419199705,0.235020706985082,11.185755611585,4.78809375641336e-29,1.87583548102819e-26
"GATM|2628",827.172476491116,-1.50505407119387,0.134890908268739,-11.1575649575685,6.57683272898082e-29,2.52402733609152e-26
"ATP13A4|84239",120.585950548338,-6.0236475824845,0.541480441584621,-11.1244047243083,9.54408148890336e-29,3.58952904797655e-26
"HSPB8|26353",9933.8418285099,-1.90789817633209,0.17169699555388,-11.1120067662068,1.09666848134334e-28,4.04369623365913e-26
"SNX7|51375",806.380869655571,-1.13068285663851,0.102232404480952,-11.0599262765964,1.96258771164862e-28,7.03474278372916e-26
"CASKIN1|57524",128.828775426203,1.89204357245951,0.171086114755559,11.0590130307348,1.98267145725948e-28,7.03474278372916e-26
"NLE1|54475",1073.34007464079,0.792755844702863,0.0717150115409519,11.0542524872937,2.09071167972326e-28,7.28070984022148e-26
"NPFFR2|10886",49.507404433525,-6.24352175961165,0.565717360449186,-11.0364683782273,2.54854126621559e-28,8.71369427476077e-26
"NUP210|23225",3414.30923701191,1.3215205141614,0.11976636060234,11.0341543945653,2.61499726579006e-28,8.7812542112825e-26
"ETNK2|55224",978.284619493116,-1.25964054248542,0.114265384094797,-11.0238157641898,2.93354104871146e-28,9.67811217912614e-26
"RND2|8153",345.667192813371,-1.60816695211509,0.146090753694903,-11.0079995580938,3.49681699882635e-28,1.13375247694706e-25
"SLC25A12|8604",1681.14030380534,-0.824929988702478,0.0749822906339432,-11.0016642826999,3.75143454124812e-28,1.19569028047747e-25
"MRO|83876",122.949863371542,-3.49901350966394,0.318341998030898,-10.9913663019867,4.20511569052733e-28,1.31795334267278e-25
"C2orf88|84281",667.635365360106,-2.1749407898328,0.198018397307343,-10.9835289013934,4.58649806210609e-28,1.41391960750664e-25
"CRYAB|1410",4751.0884397789,-1.94882320015594,0.177527109704345,-10.9776090164569,4.8971383237711e-28,1.48533364804057e-25
"HPN|3249",7917.80827523865,2.24852404789201,0.205403472559893,10.9468648210724,6.87874267262295e-28,2.05325009458214e-25
"HOXB5|3215",145.490918633041,-5.10569796956494,0.467043629132459,-10.9319507880856,8.10862262289064e-28,2.34588689882244e-25
"SLC45A2|51151",74.2254179991978,3.87822240217061,0.354755305380936,10.9321054353399,8.094813029586e-28,2.34588689882244e-25
"CAV2|858",2067.01447035934,-1.33698187055063,0.122356267298807,-10.9269586271832,8.5671834779997e-28,2.44099826217855e-25
"C9orf3|84909",1710.16032962274,-1.0751573974797,0.0984145099305976,-10.9247853618121,8.77476122262426e-28,2.46282663867835e-25
"WNT9B|7484",133.033745523204,-5.19224466360664,0.475837214819593,-10.9118087066292,1.01222088478261e-27,2.79923731446133e-25
"RBP1|5947",1019.30892149825,-1.94333724801494,0.178503817557238,-10.8868105713863,1.33224528079615e-27,3.630851087735e-25
"GSTM4|2948",1573.60254420403,-1.36690503928772,0.125577428043943,-10.8849580739096,1.35961176150662e-27,3.65249988216172e-25
"CIDEC|63924",32.5541097203517,-3.4080569754166,0.31366108723474,-10.8654121091726,1.68460866568164e-27,4.46184027579483e-25
"PARP3|10039",1061.66448168238,-0.895686983698188,0.0825701849678102,-10.8475835926415,2.04767292075467e-27,5.29709641230438e-25
"HS3ST5|222537",68.1864323038941,-6.16906677531994,0.568724401492738,-10.8471990284361,2.05630437701792e-27,5.29709641230438e-25
"AOX1|316",3566.97601058039,-2.14378917671644,0.198113019258799,-10.8210413668774,2.73650215763447e-27,6.95404365869138e-25
"PKD1L2|114780",118.409803488657,-6.25525516126419,0.581856540395412,-10.750511040081,5.89341829524612e-27,1.47767641389471e-24
"UGT2B4|7363",265.205264565799,4.8965631136916,0.45571602518244,10.7447683274498,6.27191819262353e-27,1.55188712647744e-24
"ACTC1|70",4609.36974952844,-3.31376945367701,0.309059335925211,-10.7221140683448,8.01500874849258e-27,1.93233640404363e-24
"TRPM5|29850",65.6275161154493,-5.30759097509038,0.494996017637261,-10.7224922746345,7.98229489329666e-27,1.93233640404363e-24
"ST5|6764",4511.14718471864,-1.06589643958428,0.0995100719899867,-10.7114427541721,8.99489428201559e-27,2.14112641738358e-24
"DNAH5|1767",1891.75315293303,2.72661768110831,0.254908642692617,10.6964505099038,1.05751877496276e-26,2.48583007039684e-24
"RASL10B|91608",706.673402704348,-3.72557717364455,0.34836201484598,-10.6945562801723,1.07935027457275e-26,2.50582492757291e-24
"FEZ1|9638",714.644309949764,-1.40777786107931,0.131651755870978,-10.6931947224385,1.09531804974317e-26,2.51188486895369e-24
"EFEMP2|30008",2900.68703566349,-1.27002939303355,0.11909605298936,-10.6639083425125,1.50151908623762e-26,3.40193571285523e-24
"NECAB1|64168",549.383175076901,-1.68957325981017,0.158970901924929,-10.6281919480336,2.20342727055214e-26,4.93279164556345e-24
"CYP11A1|1583",64.5243622996231,-2.48261606918667,0.233747245429606,-10.6209425682166,2.38144217045899e-26,5.26859059005662e-24
"PYCR1|5831",8796.27172097318,1.42636917113768,0.134325148134333,10.6187798111432,2.43726041826361e-26,5.32938164714503e-24
"BEND5|79656",205.571772385307,-1.34230871957634,0.126478848735829,-10.6129106407346,2.59535757231356e-26,5.60985047670765e-24
"GPD1|2819",85.1192145425525,-3.86026546398229,0.36408276384209,-10.6027141280892,2.89455633844072e-26,6.18546953913383e-24
"ESRP2|80004",4103.12789197416,1.17525784757894,0.111009496427311,10.5870027826719,3.4237927740743e-26,7.23420484454688e-24
"TCF7L1|83439",1167.14391411644,-1.33440846878078,0.126135238736794,-10.579188513412,3.72167499470801e-26,7.77623314172046e-24
"C1orf190|541468",197.477660156537,-1.48010940150513,0.14011019502608,-10.5638950915002,4.38097254257787e-26,9.05320754540406e-24
"FGFRL1|53834",3064.19425783254,1.44593861908012,0.136955643445618,10.5577147659072,4.67914366381566e-26,9.56427136935365e-24
"SLC46A2|57864",105.991450101419,-4.21511380717133,0.399523497772153,-10.550352684325,5.06067734242254e-26,1.023290724992e-23
"HIST3H2A|92815",384.330710176638,1.78093461987528,0.168914720151616,10.5433950236944,5.44953472943209e-26,1.090196814755e-23
"LRFN1|57622",330.168960803076,1.43785613325577,0.13663441890689,10.5233816249155,6.74098685406988e-26,1.33436060832404e-23
"FUT3|2525",300.318227690912,-4.35408160999735,0.413896854681031,-10.5197262572889,7.00768837727782e-26,1.37270395765322e-23
"ANGPT1|284",1695.77537777049,-1.75711307483691,0.167600512154661,-10.4839361899769,1.02391432186877e-25,1.98502152811776e-23
"S100A6|6277",12174.0879897218,-1.58024219682675,0.150774635007047,-10.4808225651011,1.05819318223776e-25,2.03054314203888e-23
"SCARA3|51435",3780.4249628827,-1.72520206015626,0.164924644270348,-10.4605474081137,1.31096073181458e-25,2.49016328906799e-23
"SMPDL3B|27293",1198.52805343949,1.89400769815105,0.181558277617676,10.4319545382526,1.77205108148368e-25,3.33234205873006e-23
"GNAZ|2781",1187.82467578952,-1.86443847517742,0.178839964726148,-10.4251780525252,1.90302566527097e-25,3.5432076866753e-23
"SLC25A42|284439",1979.41209124379,0.973589076141929,0.0934499337362088,10.4182960566905,2.04585570799942e-25,3.77179574401266e-23
"ZNF643|65243",82.3494802096802,1.24460031842655,0.119745319794693,10.3937282940199,2.64795536229868e-25,4.83444665903172e-23
"ID4|3400",2165.88394920033,-1.77385460972847,0.170916858195218,-10.378464877364,3.10731384457492e-25,5.61856123531071e-23
"TMTC4|84899",2615.03199906685,1.26846042526522,0.122281840817024,10.3732526169873,3.28160861511986e-25,5.87720476260276e-23
"GNAO1|2775",1520.69220488047,-2.43480359386585,0.234773108534664,-10.3708793952709,3.36414446738804e-25,5.96818270841812e-23
"RASAL1|8437",139.370066095889,-4.08215784457286,0.3936927070579,-10.3688937371464,3.43477977901951e-25,6.03654520976278e-23
"MANEAL|149175",1206.77709007253,1.18751736398417,0.114576343177837,10.364420185247,3.59934700833943e-25,6.26719634183546e-23
"ANP32E|81611",1754.89789934486,-1.17401171911623,0.113371471387571,-10.3554422002936,3.95355396099452e-25,6.80769317104306e-23
"L3MBTL4|91133",164.744228163125,-1.68172434511174,0.162424459035259,-10.3538860778762,4.01836714695974e-25,6.80769317104306e-23
"STAC2|342667",2214.80593245986,-4.46878916801612,0.431597333852001,-10.3540703741894,4.01063649538311e-25,6.80769317104306e-23
"LMX1B|4010",67.9668611795562,2.83374658705704,0.273861448842894,10.347373093329,4.30125624823064e-25,7.22188604892654e-23
"C8orf84|157869",1227.40452488977,-2.49544736455364,0.241328160861291,-10.3404731368585,4.62249628723034e-25,7.69257014879351e-23
"HRASLS5|117245",119.331065655912,-2.20349579572991,0.213127009234601,-10.3388857359904,4.69970093599934e-25,7.75244527205856e-23
"G0S2|50486",698.256383965438,-2.56845132252368,0.248781906975801,-10.3241081867481,5.48259098053323e-25,8.96522812077629e-23
"C12orf75|387882",2266.09942286853,-1.72116560201932,0.166884354530712,-10.3135228395695,6.12153847015178e-25,9.92375266648312e-23
"FAM167A|83648",662.852824052122,-3.23636246644943,0.314333811081355,-10.2959412966612,7.34971826891064e-25,1.1787274072625e-22
"C2orf72|257407",2666.62460462137,2.43394426159721,0.236412420043214,10.2953316122406,7.39642829337812e-25,1.1787274072625e-22
"SLC2A9|56606",463.989727621043,-2.62373765672488,0.255134751877705,-10.2837329584271,8.34321654991632e-25,1.31843854807711e-22
"DBNDD2|55861",1705.87023153831,-1.30547271521065,0.126996150703906,-10.2796242876241,8.70663377014954e-25,1.36440206706385e-22
"SFRP5|6425",201.186943571132,-4.26937889007292,0.415562465777782,-10.2737355792761,9.2550028513266e-25,1.43834982329915e-22
"P2RX6|9127",47.4061394827571,-2.42461039239241,0.236451651817328,-10.2541486758805,1.13370576603831e-24,1.74748663363528e-22
"ST6GALNAC4|27090",785.327150950072,-2.01274571595378,0.196432604151612,-10.2464951001733,1.22712791108154e-24,1.87610897299905e-22
"PCSK6|5046",1243.40347774754,1.83734209210439,0.179538133733314,10.2337149991409,1.4004187316856e-24,2.11151163136885e-22
"APOBEC3C|27350",1272.52405638957,-1.76344101945928,0.172320449198217,-10.2334982740837,1.4035573194422e-24,2.11151163136885e-22
"GCNT4|51301",144.982374611615,-2.25848536801631,0.22098109797542,-10.2202649398888,1.60900509762752e-24,2.3824677843217e-22
"FAM176A|84141",119.785349465769,-2.89380112374075,0.283142957094564,-10.2202829038558,1.60870694089913e-24,2.3824677843217e-22
"PAQR8|85315",1767.05016937636,-2.57620173453235,0.252131602615681,-10.2176867469454,1.65236931533606e-24,2.42756288866365e-22
"KCNJ15|3772",459.490323088424,-3.06190816333394,0.300423517751825,-10.1919722738329,2.15350260192834e-24,3.13895419385242e-22
"NDRG2|57447",9247.50983152396,-1.4081379873892,0.13817152342914,-10.1912315391916,2.16997631056003e-24,3.13895419385242e-22
